Tavola 10 - Raccolta di rifiuti urbani totale (kg/abitante)e differenziata (percentuale) nei comuni capoluogo di provincia/citt� metropolitana - Anni 2012 - 2018,,,,,,,,,,,,,,,
COMUNI,"Raccolta rifiuti urbani
 (kg/abitante)",,,,,,,,"Raccolta differenziata
 (%)",,,,,,
,2012,2013,2014,2015,2016,2017,2018,,2012,2013,2014,2015,2016,2017,2018
,,,,,,,,,,,,,,,
Verona,"518,937399431174","509,103442902362","517,67606053556","515,374761510147","537,810260444317","522,317402084613","528,126140183361",,"51,070125118214","46,187307684567","50,632178900311","50,810898292483","55,2567896633496","52,5095762948069","52,6927807471893"
Vicenza,"588,421291375561","584,549526164351","604,301794467864","583,065936297186","609,551954021968","597,830889383338","622,795692639719",,"56,424493436019","60,569707807798","61,484788465739","65,0556963072129","70,8673556646591","74,7268034511694","75,3110092199464"
Belluno,"391,601880260084","391,417987642931","394,433999107342","386,703058415883","438,72885457029","435,270611572095","421,264833736354",,"67,163919485008","67,605529179758","72,823057398086","72,5855892031859","83,6355644160243","83,7993699598084","83,1291153688548"
Treviso,"606,697005284792","585,895282204255","476,21336115158","424,028103212393","462,144658011343","467,860275659546","476,203126746806",,"52,469117132289","54,091669693273","70,252934120398","82,9502741355926","87,1186124375527","87,3422342161832","87,1657332716356"
Venezia,"634,60373491451","620,269990091581","611,093925116185","610,465113812222","634,359839088294","636,446533620271","637,565564990102",,"35,954329128178","41,391393591221","52,179928022012","54,3153322501585","56,9790927931736","57,8025788857089","59,5102612727036"
Padova,"659,937705267441","620,06907750352","610,980735967764","574,914691504728","592,950904028746","588,591977995046","604,058027492453",,"42,767958476828","45,907401122369","47,879993992716","50,7387278168878","55,2065503014036","55,1241842877951","55,1979624412845"
Rovigo,"682,61236151487","623,527590531431","598,99011211386","602,888203235387","625,298554477641","604,557495086306","591,544756633057",,"59,134016623401","57,545727731046","57,050280116754","56,1627707872176","58,7685072571834","57,169444437649","63,0436019664714"
Pordenone,"493,299195030616","537,84866583928","507,510010639327","489,953004540108","514,600103547984","511,609514403614","515,353581673074",,"77,840690149023","77,245565114808","79,357235342794","78,8299649884311","83,4896942198335","84,5186162745763","86,3857714738459"
Udine,"533,062440976066","535,153095185268","503,354455505249","550,152684225894","570,460815072289","575,919823593601","582,580276025038",,"60,873952435679","62,805533165846","60,489453522301","63,9511660823199","66,4978305733093","65,1219980135277","64,5272834136447"
Gorizia,"446,125530110263","439,892213710303","436,291670805955","442,90478572858","455,49129422585","474,770928231602","483,768251705529",,"55,07076921517","54,695445798589","55,537983021506","58,167932833244","63,962306042073","64,3356432662275","64,2004586257776"
Trieste,"459,664881552107","444,867277344414","437,313667851276","435,087856517167","460,557838171167","471,921605004748","504,31139609158",,"24,754415489538","26,411847358228","29,792159082181","35,2857591661744","40,2306946718435","38,5100507653092","42,1140817705911"
Piacenza,"697,73077726599","696,021983104302","688,450650549902","698,027369656657","728,526184819063","735,460000809671","785,634902233558",,"54,244487789298","55,067431108806","55,281551851906","52,3404603333064","53,1131648453513","57,1455810090737","64,824463396663"
Parma,"572,410876919074","546,15169614825","506,706378793407","530,829280643141","552,745362334185","551,774270450957","573,971902448974",,"48,349460641479","53,044539584237","65,377998669432","71,3440514699414","76,401725163805","80,9571884886064","81,3919449489405"
Reggio nell'Emilia,"679,387867613278","667,173007819814","680,357894125167","672,841696793003","693,981399852991","651,245126121723","688,119415135648",,"54,958394415477","56,021846074947","57,667202839973","56,8340765619523","57,6031128936381","65,9866314101394","77,4078764322833"
Modena,"668,481564968977","678,491197599195","651,970633505828","677,225415472237","685,096915877739","674,648454054054","688,046676355024",,"52,976856124895","57,566495126009","58,108687749034","60,0107897957158","60,1332207361963","61,4220944731624","62,0421043863505"
Bologna,"519,865280811295","522,66621515434","549,907513535475","555,819086387421","575,491030282699","572,481047493146","581,148715791957",,"31,867675411941","35,705752976465","38,290574483865","43,5762203796401","45,9510202470513","48,2031891240311","51,4895833328737"
Ferrara,"685,753377981881","650,873126873127","688,982385204321","678,585053796887","709,863403026052","683,513369934957","622,745969053834",,"50,591444378612","49,733206080652","53,342715104398","53,0432227900729","56,3466980690349","63,0706519305202","85,7510132923402"
Ravenna,"753,647423524595","706,8882557367","704,031854451597","709,460260166589","708,593035864137","727,402845002074","735,103826654629",,"54,549277766697","54,1132559253","55,282271801791","55,9536144144733","59,0149655116362","53,3867661097956","54,6738492632117"
Forl�,"754,49576577507","712,238510503951","720,651187165595","698,330070119576","722,257098520726","719,001378234079","694,64641158274",,"48,299526208635","49,79472884176","52,853852678831","55,0209886109658","61,649499849537","62,0261535037754","55,0291620577576"
Rimini,"819,426087815479","799,424131155214","782,869301779007","729,426136363636","745,977944299496","735,980656712087","756,791582077412",,"59,656641791328","61,323475716508","62,457029906812","60,2773607008669","61,8586552008001","64,3392491129691","67,4587035518059"
Massa,"806,490741815649","812,179221973223","771,985175452377","801,973965473926","808,782870120039","817,582034239095","827,232660992126",,"25,826778000712","25,787787981836","24,345265988612","27,2133559333011","29,0982347043419","32,6282431133993","31,9780244320766"
Lucca,"708,974450086542","684,234567482268","656,212533754636","637,515560514983","608,364529454529","587,418764917811","669,51282382474",,"49,336347427489","54,580718309482","59,538871339537","63,4101844039564","77,8184215223616","78,3210908060096","80,7028359945894"
Pistoia,"583,630732913669","595,333675793988","606,836345125986","613,609127653339","647,397817416353","601,033314855876","594,930507939497",,"34,990395762387","36,036224459745","36,195698674532","37,1504086676568","37,8827906507442","38,4633909764236","38,5208367639054"
Firenze,"648,612206697385","626,252842262185","630,517511513444","627,950879825095","628,894644383622","621,408375161555","645,754210061504",,"38,731025385707","41,808613725538","44,221179230219","46,3513023266375","50,3184670113896","50,8480601640541","53,5059467977433"
Prato,"705,397479867973","719,907881837184","734,537578151568","727,722654859846","706,080663366517","590,052493299533","606,654457806478",,"42,408629208551","44,330520233667","47,216755140323","45,9139134466229","56,1319381448443","72,6849218382239","71,9315175155213"
Livorno,"578,188777380114","553,440206607666","558,870315634237","535,099728323101","556,185506153048","553,826504079902","538,71334223195",,"35,849267515787","36,097353331497","38,042982147573","39,3697578247907","43,0441462662617","45,1899719983758","54,6207705285983"
Pisa,"815,032366981022","782,863628566528","796,924838619141","804,974104017775","799,378305111163","718,874489219627","740,995988781997",,"36,972361092997","35,348013680311","35,738161622673","37,3755910632013","46,5867215105813","59,7037721813905","62,5179286593163"
Arezzo,"590,349849773387","573,518604745324","564,972768364995","577,221018007106","608,444032520652","613,971230039017","617,727822032447",,"32,251796389107","34,303028377638","33,908126878549","37,0650994184502","39,6804532287954","39,8471511817354","40,3069200390514"
Siena,"686,756621216279","680,065601958714","679,651704003924","686,035717597315","677,643408404922","660,094434073537","673,612863740054",,"39,149527752709","38,467434550715","38,014749770182","38,4570026889336","39,546318854725","40,2526154724627","40,6409025066043"
Grosseto,"605,77397525258","580,383198964865","572,755228832182","583,975513042629","596,578383973695","601,368530689065","609,659636593689",,"31,279118706957","33,858519218468","33,557251823555","35,2786670661613","35,7582506781146","34,8235777136032","37,4651134671541"
Perugia,"649,483547278695","612,560848104652","590,296353912294","552,319205429744","571,092941317869","574,909017104092","580,615042259807",,"52,851559321511","57,698849551796","59,52587771652","57,7344618456676","62,1913700252688","62,2091668115736","64,4204091481755"
Terni,"602,003185471322","576,720079058161","551,331520770191","536,255801202858","561,439393422918","482,199367690124","479,47013129793",,"39,357489929514","40,231206021359","39,495996418337","37,5204809685739","48,3634672023417","71,7848355123534","74,266345158501"
Pesaro,"685,54410698504","730,322311430383","737,180377055502","726,656961931644","710,171261120938","755,523320212256","757,871624360939",,"56,863682645894","53,47015020907","51,922999754649","51,0484172187471","55,8935843205625","58,1766585656598","64,4832102735048"
Ancona,"500,665909724712","479,298018160675","490,299124274329","484,879616956305","505,601850593133","499,730939390933","497,240073873455",,"58,748139504258","59,72421337669","52,35300256276","52,6394644494703","53,6441800064431","54,0926060479406","57,2199199319587"
Macerata,"490,436615190446","488,813169709668","462,184754215151","437,888033425661","457,698970265228","482,796356492231","468,170032416857",,"45,760482443682","50,884831336834","59,922929105053","72,3363655651763","71,7994316252435","75,0023009963685","75,0616776241976"
Fermo,"551,316925734024","548,780865020532","475,165207718081","456,186620325538","608,696912765986","534,086984484283","519,719838078459",,"32,701717116341","38,771587307912","51,071733156448","53,7728596787388","52,7292154299145","53,717824980417","58,4849276518595"
Ascoli Piceno,"537,7181882093","517,641116100064","530,69451947896","528,21067262948","545,210911672244","534,422021719605","481,100864434404",,"40,027306380578","41,35427089755","39,545412728504","41,2397115492501","40,3879765597495","47,2954552868179","64,7214941696713"
